"","all_trips_v3$member_casual","all_trips_v3$day_of_week","all_trips_v3$ride_length"
"1","casual","Sunday",1773.32911869972
"2","member","Sunday",885.515102913659
"3","casual","Monday",1508.51079818342
"4","member","Monday",736.959542353022
"5","casual","Tuesday",1310.69837768607
"6","member","Tuesday",745.12558329296
"7","casual","Wednesday",1389.61899285801
"8","member","Wednesday",764.412063345031
"9","casual","Thursday",1295.4948614651
"10","member","Thursday",723.637795275591
"11","casual","Friday",1445.52406173708
"12","member","Friday",735.798625739065
"13","casual","Saturday",1739.63091526686
"14","member","Saturday",877.222362634585
