"","all_trips_v3$rideable_type","all_trips_v3$day_of_week","all_trips_v3$ride_length"
"1","classic_bike","Sunday",1441.84800430139
"2","electric_bike","Sunday",940.12874673104
"3","classic_bike","Monday",1084.9689485433
"4","electric_bike","Monday",715.75538054587
"5","classic_bike","Tuesday",996.475244201738
"6","electric_bike","Tuesday",685.85325474189
"7","classic_bike","Wednesday",1056.10422825887
"8","electric_bike","Wednesday",702.255872899736
"9","classic_bike","Thursday",977.186467369724
"10","electric_bike","Thursday",684.230643669405
"11","classic_bike","Friday",1094.82304515107
"12","electric_bike","Friday",745.868310483695
"13","classic_bike","Saturday",1432.22965841787
"14","electric_bike","Saturday",927.513022634029
